('Total Revenue', '97,150,000.00', '96,773,000.00', '81,462,000.00', '53,823,000.00', '31,536,000.00')
         297891 function calls (297717 primitive calls) in 5.161 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      6/4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        6    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        6    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
        6    0.000    0.000    0.001    0.000 client.py:1292(putheader)
        6    0.001    0.000    0.004    0.001 feedparser.py:216(_parsegen)
        6    0.000    0.000    0.000    0.000 response.py:741(_error_catcher)
        6    0.000    0.000    0.000    0.000 connection.py:163(host)
        6    0.000    0.000    0.000    0.000 message.py:620(get_content_maintype)
        6    0.000    0.000    0.001    0.000 connection.py:355(putheader)
        6    0.000    0.000    0.000    0.000 client.py:453(isclosed)
        6    0.000    0.000    0.004    0.001 feedparser.py:176(_call_parse)
        6    0.000    0.000    0.000    0.000 _htmlparser.py:222(handle_entityref)
        6    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
        6    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        6    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        5    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {method 'extend' of 'collections.deque' objects}
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        5    0.005    0.001    2.139    0.428 {method 'read' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 {method 'truncate' of '_io.StringIO' objects}
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        5    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        5    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        5    0.000    0.000    0.000    0.000 <frozen _collections_abc>:104(_check_methods)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        5    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
        5    0.000    0.000    0.000    0.000 url.py:263(_remove_path_dot_segments)
        5    0.000    0.000    0.002    0.000 url.py:367(parse_url)
        5    0.000    0.000    0.000    0.000 queue.py:248(_qsize)
        5    0.000    0.000    0.000    0.000 url.py:100(__new__)
        5    0.000    0.000    0.000    0.000 timeout.py:109(__init__)
        5    0.000    0.000    0.000    0.000 feedparser.py:121(pushlines)
        5    0.000    0.000    0.000    0.000 timeout.py:227(connect_timeout)
        5    0.000    0.000    0.000    0.000 threading.py:299(__enter__)
        5    0.000    0.000    0.000    0.000 threading.py:302(__exit__)
        5    0.000    0.000    0.000    0.000 timeout.py:126(resolve_default_timeout)
        5    0.000    0.000    0.000    0.000 threading.py:314(_is_owned)
        5    0.000    0.000    0.000    0.000 threading.py:394(notify)
        5    0.000    0.000    0.000    0.000 element.py:273(get_text)
        5    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
        4    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        4    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        4    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        4    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:549(__subclasshook__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        4    0.000    0.000    0.001    0.000 enum.py:1414(_missing_)
        4    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
        4    0.000    0.000    0.001    0.000 feedparser.py:100(push)
        4    0.000    0.000    0.000    0.000 retry.py:242(<genexpr>)
        4    0.000    0.000    0.000    0.000 response.py:344(<genexpr>)
        4    0.000    0.000    0.000    0.000 connectionpool.py:346(_get_timeout)
        4    0.000    0.000    0.000    0.000 connection.py:404(<genexpr>)
        4    0.000    0.000    0.000    0.000 connection.py:292(is_closed)
        4    0.000    0.000    0.000    0.000 message.py:211(is_multipart)
        4    0.000    0.000    0.000    0.000 response.py:351(get_redirect_location)
        4    0.000    0.000    0.000    0.000 response.py:404(retries)
        4    0.000    0.000    0.000    0.000 message.py:150(__init__)
        4    0.000    0.000    0.005    0.001 feedparser.py:171(feed)
        4    0.000    0.000    0.000    0.000 feedparser.py:124(__iter__)
        4    0.000    0.000    0.000    0.000 dammit.py:391(_usable)
        4    0.000    0.000    0.000    0.000 __init__.py:1517(debug)
        4    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        4    0.000    0.000    0.000    0.000 typing.py:1194(__instancecheck__)
        4    0.000    0.000    0.000    0.000 typing.py:1465(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
        4    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        4    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
