('Total Revenue', '97,150,000.00', '96,773,000.00', '81,462,000.00', '53,823,000.00', '31,536,000.00')
         294674 function calls (294475 primitive calls) in 3.938 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 poolmanager.py:305(connection_from_context)
      123    0.000    0.000    0.000    0.000 element.py:1543(get)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        4    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
        2    0.000    0.000    0.000    0.000 socket.py:770(close)
        4    0.000    0.000    0.006    0.001 feedparser.py:171(feed)
       25    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 response.py:685(_init_length)
        2    0.000    0.000    0.000    0.000 _collections.py:141(clear)
        2    0.000    0.000    1.567    0.784 client.py:1384(getresponse)
        2    0.000    0.000    0.000    0.000 ssl.py:1200(sendall)
        2    0.000    0.000    0.029    0.014 <frozen importlib._bootstrap_external>:1062(get_code)
        2    0.000    0.000    0.003    0.001 utils.py:204(get_netrc_auth)
        5    0.000    0.000    0.894    0.179 models.py:890(content)
       23    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
       13    0.000    0.000    0.000    0.000 queue.py:154(get)
        6    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
        2    0.000    0.000    0.001    0.000 client.py:463(read)
        5    0.000    0.000    0.000    0.000 {function SocketIO.close at 0x7f9902fdbb00}
        8    0.000    0.000    0.028    0.003 _htmlparser.py:182(handle_charref)
        2    0.000    0.000    0.248    0.124 client.py:245(parse_headers)
        3    0.000    0.000    0.000    0.000 client.py:430(close)
        4    0.000    0.000    0.000    0.000 parse.py:413(_splitnetloc)
  159/157    0.000    0.000    0.000    0.000 element.py:2203(_normalize_search_value)
        1    0.000    0.000    0.001    0.001 sessions.py:302(rebuild_proxies)
        6    0.000    0.000    0.000    0.000 response.py:741(_error_catcher)
        2    0.000    0.000    0.000    0.000 utils.py:539(get_encoding_from_headers)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1261(__init__)
       10    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
        1    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
        2    0.000    0.000    0.001    0.000 feedparser.py:182(close)
        1    0.000    0.000    0.677    0.677 ssl.py:1313(do_handshake)
        2    0.000    0.000    0.000    0.000 feedparser.py:195(_new_message)
        8    0.000    0.000    0.000    0.000 cookiejar.py:44(_debug)
       51    0.000    0.000    0.001    0.000 __init__.py:226(compile)
